Title,Description,Source,Date
Deepfake Nudify Technology Is Getting Darkerand More Dangerous,Sexual deepfakes continue to get more sophisticated capable easy to access and perilous for millions of women who are abused with the technology,Wired,2026-01-26T11:30:00Z
Why Cops Frequently Got Caught Planting Drugs in 2017,Look All technology comes with a learning curve,Gizmodo.com,2026-02-05T21:10:32Z
The Shoes and Brooms Transforming Curling at the 2026 Winter Olympics,Halfway between chess and bocce curling is experiencing an evolution thanks to technology From brooms to stones to footwear heres everything you need to know about the games gadgets,Wired,2026-02-08T12:00:00Z
Palantir Touts 2 Billion in Revenue from Aiding Trump Administrations Unusual Operations,Whether the efforts targeted immigrants or transgender people Palantir was there to supply the technology in 2025,Gizmodo.com,2026-02-03T01:23:13Z
Massive overhaul of England and Wales policing announced,The home secretary told Parliament she wants to make better use of technology such as live facial recognition and AI,BBC News,2026-01-26T17:08:14Z
Ring cancels its partnership with Flock Safety after surveillance backlash,Following intense backlash to its partnership with Flock Safety a surveillance technology company that works with law enforcement agencies Ring has announced it is canceling the integration In a statement published on Rings blog and provided to The Verge,The Verge,2026-02-12T23:06:02Z
Xreal sues Viture over AR glasses patent,You know a gadget category is starting to go mainstream when patent lawsuits start cropping up Today Xreal filed a lawsuit in the US against Viture alleging the firm is infringing on a patent for its AR glasses technology According to Xreals press releas,The Verge,2026-01-15T15:52:55Z
Experians tech chief defends credit scores Were not Palantir,Today Im talking with Alex Lintner who is the CEO of technology and software solutions at Experian the credit reporting company Experian is one of those multinationals thats so big and convoluted that it has multiple CEOs all over the world so Alex and,The Verge,2026-01-26T14:17:53Z
Peloton lays off 11 percent of its staff just a few months after launching its AI hardware,Peloton said on Friday that its cutting around 11 percent of its staff mostly impacting engineers working on technology and enterpriserelated efforts reports Bloomberg Last August Peloton laid off six percent of its workforce and told investors it wou,The Verge,2026-01-30T23:53:55Z
The crypto bill is falling apart in Congress,Hello and welcome to Regulator the Verge newsletter about the technology politics happening in our nations capital I hope our snowstormaffected readers are safe warm and havent reenacted The Shining at home yet Do you know what prevents that Subscrib,The Verge,2026-01-28T01:09:33Z
